,episode steps,episode reward,accuracy
991,85684,126.0,98.84
992,86009,224.0,98.85
993,86017,-93.0,98.84
994,86064,-54.0,98.84
995,86068,-97.0,98.84
996,86104,-65.0,98.84
997,86121,-84.0,98.84
998,86297,75.0,98.84
999,86415,17.0,98.84
1000,86443,-73.0,98.84
1001,86621,77.0,98.84
1002,86910,188.0,98.85
1003,86921,-90.0,98.84
1004,87016,-6.0,98.85
1005,87085,-32.0,98.84
1006,87116,-70.0,98.84
1007,87344,127.0,98.85
1008,87392,-53.0,98.85
1009,87393,-100.0,98.84
1010,87517,23.0,98.84
1011,87900,282.0,98.85
1012,87901,-100.0,98.85
1013,87992,-10.0,98.85
1014,88085,-8.0,98.85
1015,88091,-95.0,98.85
1016,88105,-87.0,98.85
1017,88106,-100.0,98.84
1018,88277,70.0,98.85
1019,88279,-99.0,98.84
